0,1,2,3,4,5,6,7,8,9,10
,THR,VAL,MET + CYS,ILE,LEU,PHE + TYR,HIS,LYS,TRP,DIAAS
Casein,1.20,1.30,0.92,1.34,1.41,2.01,1.52,1.36,1.41,0.92
Red Lentil,,,,,,,,,,
Extruded,1.06,0.94,0.58,1.03,0.98,1.33,1.36,1.09,0.83,0.58
Cooked,1.06,0.96,0.53,1.10,1.14,1.41,1.32,1.10,0.88,0.53
Baked,1.11,0.90,0.50,1.07,1.06,1.27,1.38,0.94,0.82,0.50
Green Lentil,,,,,,,,,,
Extruded,1.00,0.80,0.53,1.11,1.02,1.26,1.27,1.05,0.87,0.53
Cooked,0.99,0.93,0.49,1.05,1.04,1.29,1.20,1.04,0.82,0.49
Baked,0.84,0.86,0.44,0.91,0.83,1.03,1.09,0.79,0.77,0.44
